Referencia;Nombre;Disponible;Mínimo;Margen;Coste;Precio
PH 9294;Banco de Baterías suplementarias só carcaça (60bat9Amp) para PH 9293;3;2;86,89;264,63;1.918,00
PH 9282;Banco de Baterías suplementarias só carcaça  (40bat9Amp) para PH 9280;3;1;85,34;203,90;1.321,00
PH 9268;Banco para Baterías solo carcasa (x40 baterias de 12V-9Ah) para PH 9270;5;3;55,00;206,28;440,25
PH 9283;SA.I. Phasak trifásica-trifásica  30000 VA Online LCD;4;4;47,00;2.349,91;4.258,21
PH 9284;S.A.I. Phasak trifásica-trifásica  40000 VA Online LCD;2;2;50,00;2.758,43;5.298,39
PH 9312;Banco para Baterías solo carcasa (x4 baterías de 12V-9Ah) para PH 9310;1;2;55,00;80,32;171,42
PH 9316;Banco para Baterías solo carcasa (x6 baterias de 12V-9Ah) para PH 9315;4;1;69,20;79,90;240,93
PH 9322;Banco para Baterías solo carcasa (x8 baterias de 12V-9Ah) para PH 9320;1;2;55,00;84,97;181,34
PH 9362;Banco para Baterías solo carcasa (x20 baterias de 12V-9Ah) para PH 9360 / 9301;6;2;55,00;139,54;297,81
PH 7690;Módulo SNMP para UPS serie Protekt Phasak;53;27;45,99;70,98;126,24
PH 9274;Banco para Baterías solo carcasa (x40 baterias de 12V-9Ah) para PH 9273;4;2;55,00;170,95;364,85
PH 9295;Banco para Baterías solo carcasa (x64 baterias de 12V-9Ah) para PH 9293;5;0;55,00;323,45;690,31
PH 9285;Banco para Baterías solo carcasa (x64 baterias de 12V-9Ah) para PH 9283 / 9284;5;0;72,21;450,42;1.449,93
PH 8010;SAI  Phasak Conqueror Pro Online LCD 1000 VA;79;47;44,00;117,10;200,83
PH 8020;SAI  Phasak Conqueror Pro Online LCD 2000 VA;86;43;45,00;161,82;282,57
PH 8030;SAI  Phasak Conqueror Pro Online LCD 3000 VA;37;88;44,00;221,18;379,32
PH 8032;Banco para Baterías solo carcasa (x12 baterias de 12V-9Ah) para PH 8030;5;6;55,00;96,80;206,59
PH 9478;S.A.I. Phasak Kryptos 800 VA  USB + RJ + USB Charger;107;54;43,00;45,09;75,97
PH 9287;Rack para UPS Phasak tri-tri PH 9286 (no incluye baterias);2;1;55,00;513,61;1.096,16
PH 9210-RB;S.A.I. Phasak Recondicionado"Grado B" Gate Pro 1000 VA Online LCD;1;0;41,00;59,00;92,19
PH 9420-RB;S.A.I. Phasak Recondicionado "Grado B" 2000 VA LCD  USB + RJ;1;0;40,99;37,00;57,81
PH 9310-OUT;S.A.I. Phasak Pro-Rack  1000 VA Online LCD 19" - OUTLET - caja danificada,1 raya;1;0;14,99;172,19;200,22

